Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,* Bij 310 personen is de woonplaats niet van bekend,99,,
796,'s-Hertogenbosch,150,155113.0,96.7
1680,Aa en Hunze,5,25453.0,19.6
358,Aalsmeer,18,31857.0,56.5
197,Aalten,5,27117.0,18.4
59,Achtkarspelen,2,27836.0,7.2
482,Alblasserdam,7,20165.0,34.7
613,Albrandswaard,25,25589.0,97.7
361,Alkmaar,49,109444.0,44.8
141,Almelo,20,73080.0,27.4
34,Almere,60,211840.0,28.3
484,Alphen aan den Rijn,44,111889.0,39.3
1723,Alphen-Chaam,26,10213.0,254.6
1959,Altena,44,55980.0,78.6
60,Ameland,0,3718.0,0.0
307,Amersfoort,69,157279.0,43.9
362,Amstelveen,81,91691.0,88.3
363,Amsterdam,571,872779.0,65.4
200,Apeldoorn,60,163829.0,36.6
3,Appingedam,1,11644.0,8.6
202,Arnhem,63,161368.0,39.0
106,Assen,12,68606.0,17.5
743,Asten,17,16734.0,101.6
744,Baarle-Nassau,3,6860.0,43.7
308,Baarn,7,24873.0,28.1
489,Barendrecht,30,48713.0,61.6
203,Barneveld,22,59077.0,37.2
888,Beek,15,15868.0,94.5
1954,Beekdaelen,43,35976.0,119.5
370,Beemster,6,10025.0,59.9
889,Beesel,15,13483.0,111.3
1945,Berg en Dal,69,34990.0,197.2
1724,Bergeijk,14,18638.0,75.1
893,Bergen (L.),4,13085.0,30.6
373,Bergen (NH.),23,29844.0,77.1
748,Bergen op Zoom,17,67489.0,25.2
1859,Berkelland,5,43748.0,11.4
1721,Bernheze,117,31247.0,374.4
753,Best,27,29985.0,90.0
209,Beuningen,24,25891.0,92.7
375,Beverwijk,22,41613.0,52.9
1728,Bladel,21,20395.0,103.0
376,Blaricum,6,11536.0,52.0
377,Bloemendaal,19,23570.0,80.6
1901,Bodegraven-Reeuwijk,12,34869.0,34.4
755,Boekel,61,10784.0,565.7
1681,Borger-Odoorn,2,25558.0,7.8
147,Borne,21,23313.0,90.1
654,Borsele,7,22738.0,30.8
756,Boxmeer,25,29371.0,85.1
757,Boxtel,26,30803.0,84.4
758,Breda,245,184271.0,133.0
501,Brielle,11,17282.0,63.7
1876,Bronckhorst,11,36052.0,30.5
213,Brummen,8,20756.0,38.5
899,Brunssum,31,27817.0,111.4
312,Bunnik,10,15191.0,65.8
313,Bunschoten,6,21867.0,27.4
214,Buren,9,26742.0,33.7
502,Capelle aan den IJssel,44,67151.0,65.5
383,Castricum,24,35988.0,66.7
109,Coevorden,20,35296.0,56.7
1706,Cranendonck,58,21166.0,274.0
1684,Cuijk,14,25139.0,55.7
216,Culemborg,20,28956.0,69.1
