Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,* postcode ontbreekt bij 70 pt en 1 woont in buitenland,99,,
518,'s-Gravenhage,17,537833.0,3.2
796,'s-Hertogenbosch,24,154205.0,15.6
1680,Aa en Hunze,0,25386.0,0.0
358,Aalsmeer,3,31728.0,9.5
197,Aalten,0,27011.0,0.0
59,Achtkarspelen,0,27852.0,0.0
482,Alblasserdam,1,20069.0,5.0
613,Albrandswaard,3,25271.0,11.9
361,Alkmaar,2,108558.0,1.8
141,Almelo,1,72849.0,1.4
34,Almere,3,207904.0,1.4
484,Alphen aan den Rijn,6,110986.0,5.4
1723,Alphen-Chaam,3,10149.0,29.6
1959,Altena,12,55386.0,21.7
60,Ameland,0,3673.0,0.0
307,Amersfoort,21,156286.0,13.4
362,Amstelveen,6,90838.0,6.6
363,Amsterdam,56,862965.0,6.5
200,Apeldoorn,7,162445.0,4.3
3,Appingedam,0,11721.0,0.0
202,Arnhem,8,159265.0,5.0
106,Assen,0,67963.0,0.0
743,Asten,2,16710.0,12.0
744,Baarle-Nassau,0,6847.0,0.0
308,Baarn,0,24767.0,0.0
489,Barendrecht,3,48673.0,6.2
203,Barneveld,4,57971.0,6.9
888,Beek,3,15929.0,18.8
1954,Beekdaelen,15,35727.0,42.0
370,Beemster,0,9748.0,0.0
889,Beesel,0,13519.0,0.0
1945,Berg en Dal,14,34798.0,40.2
1724,Bergeijk,1,18491.0,5.4
893,Bergen (L),0,13140.0,0.0
373,Bergen (NH),1,29974.0,3.3
748,Bergen op Zoom,5,66811.0,7.5
1859,Berkelland,0,43904.0,0.0
1721,Bernheze,20,30806.0,64.9
753,Best,5,29821.0,16.8
209,Beuningen,6,25882.0,23.2
375,Beverwijk,6,41176.0,14.6
1728,Bladel,1,20175.0,5.0
376,Blaricum,1,11202.0,8.9
377,Bloemendaal,3,23410.0,12.8
1901,Bodegraven-Reeuwijk,1,34462.0,2.9
755,Boekel,14,10588.0,132.2
1681,Borger-Odoorn,0,25372.0,0.0
147,Borne,3,23210.0,12.9
654,Borsele,2,22800.0,8.8
756,Boxmeer,1,29065.0,3.4
757,Boxtel,5,30747.0,16.3
758,Breda,96,183873.0,52.2
501,Brielle,0,17182.0,0.0
1876,Bronckhorst,2,36212.0,5.5
213,Brummen,0,20698.0,0.0
899,Brunssum,2,28103.0,7.1
312,Bunnik,0,15192.0,0.0
313,Bunschoten,0,21576.0,0.0
214,Buren,4,26568.0,15.1
502,Capelle aan den IJssel,1,66818.0,1.5
383,Castricum,5,35772.0,14.0
109,Coevorden,11,35483.0,31.0
1706,Cranendonck,5,20440.0,24.5
1684,Cuijk,2,24931.0,8.0
216,Culemborg,4,28555.0,14.0
148,Dalfsen,1,28499.0,3.5
1891,Dantumadiel,0,18923.0,0.0
310,De Bilt,15,42824.0,35.0
1940,De Fryske Marren,3,51430.0,5.8
736,De Ronde Venen,2,44059.0,4.5
1690,De Wolden,1,24110.0,4.1
503,Delft,2,103163.0,1.9
10,Delfzijl,0,24716.0,0.0
400,Den Helder,1,55604.0,1.8
762,Deurne,8,32362.0,24.7
150,Deventer,4,99957.0,4.0
384,Diemen,2,29196.0,6.9
1774,Dinkelland,5,26350.0,19.0
221,Doesburg,1,11148.0,9.0
222,Doetinchem,0,57555.0,0.0
766,Dongen,5,26051.0,19.2
505,Dordrecht,4,118654.0,3.4
498,Drechterland,0,19597.0,0.0
1719,Drimmelen,11,27150.0,40.5
303,Dronten,7,40815.0,17.2
225,Druten,5,18797.0,26.6
226,Duiven,1,25332.0,3.9
1711,Echt-Susteren,2,31638.0,6.3
385,Edam-Volendam,0,36099.0,0.0
228,Ede,2,115710.0,1.7
317,Eemnes,0,9113.0,0.0
770,Eersel,3,19110.0,15.7
1903,Eijsden-Margraten,4,25658.0,15.6
772,Eindhoven,22,231642.0,9.5
230,Elburg,1,23086.0,4.3
114,Emmen,1,107113.0,0.9
388,Enkhuizen,1,18507.0,5.4
153,Enschede,3,158986.0,1.9
232,Epe,2,33145.0,6.0
233,Ermelo,8,26858.0,29.8
777,Etten-Leur,12,43774.0,27.4
779,Geertruidenberg,5,21515.0,23.2
1771,Geldrop-Mierlo,3,39595.0,7.6
1652,Gemert-Bakel,25,30447.0,82.1
907,Gennep,1,17071.0,5.9
784,Gilze en Rijen,1,26431.0,3.8
1924,Goeree-Overflakkee,5,49611.0,10.1
664,Goes,2,37653.0,5.3
785,Goirle,9,23793.0,37.8
1942,Gooise Meren,9,57715.0,15.6
512,Gorinchem,0,36682.0,0.0
513,Gouda,5,73181.0,6.8
786,Grave,0,12483.0,0.0
